rank,test_means,test_stds,train_means,train_stds,n_estimators,learning_rate,reg_alpha,max_depth,reg_lambda,gamma
14,0.9456014498355308,0.010859866437561523,1.0,0.0,390,2.0599999999999996,1.6,17,3.5,0.2001
54,0.7571417631242525,0.06424444969985194,0.796264518177913,0.07422419552113144,240,4.3999999999999995,1.84,24,3.97,0.494
63,0.646603488801426,0.3088829488015179,0.6658550939737895,0.3193449335106148,150,5.14,9.36,48,3.79,0.5502
83,0.4102268530543701,0.3297238453270502,0.41289188392988657,0.3328050635209996,140,4.4799999999999995,1.8800000000000001,3,2.85,0.2507
62,0.6560865030939322,0.32566423291351815,0.7000121204943807,0.35409336264355384,70,4.3999999999999995,3.64,6,4.36,0.9123
64,0.6078873928411734,0.31307121645787256,0.6287725171496499,0.33281976226680293,240,4.22,4.45,2,5.48,0.0045000000000000005
55,0.7413096783261961,0.09852727281582278,0.7741972167355019,0.09051078304988064,350,7.1899999999999995,4.0200000000000005,8,6.47,0.5027
82,0.41383449219780555,0.31911127531059735,0.41844634158074046,0.31567252128151074,270,6.65,6.12,27,3.8000000000000003,0.2456
69,0.5586283507739814,0.2793066797569312,0.5587704915418475,0.2709910204869054,330,7.7,5.21,49,5.6000000000000005,0.2724
4,0.9772384722308123,0.008303434333429087,1.0,0.0,460,0.19,6.0600000000000005,44,2.16,0.4587
43,0.8749090979848437,0.031813608774029827,0.9512734668786408,0.05163271944698119,480,3.94,6.96,21,3.84,0.6241
99,0.13318025258323768,0.26636050516647536,0.13333333333333333,0.26666666666666666,440,9.11,9.67,28,2.82,0.8275
67,0.5810162096575409,0.2572075667749166,0.5987243675241578,0.255357583336787,360,9.32,1.2,35,9.3,0.4034
37,0.8982049914815559,0.01059760138589415,0.9858343598790753,0.01352700237391133,290,6.28,4.45,23,9.450000000000001,0.8567
52,0.7959563681824218,0.0677081614679446,0.807982016137594,0.07538301453711492,400,6.64,9.72,40,5.71,0.5209
68,0.5712548464559586,0.2016639234768761,0.5924319911359031,0.1890656360928978,290,9.5,1.29,9,8.03,0.2062
48,0.8208205576429055,0.045603988472884695,0.8622473645231313,0.07279017228022672,390,7.17,5.76,30,8.64,0.6729
46,0.8459418963243029,0.09025910673549284,0.9225376410657189,0.1262658900227077,480,6.33,9.05,26,8.46,0.8686
77,0.4650571908898601,0.31489555054819734,0.46577203003536666,0.31657859104869995,480,6.09,6.49,18,4.05,0.3574
5,0.9769040092345114,0.010867057611804228,0.9992244720183878,0.0003226161359416361,180,0.16,7.54,16,5.96,0.7917000000000001
91,0.27214270992112166,0.30974275083338626,0.2630850297498652,0.30189505133050154,130,8.78,1.8900000000000001,5,3.5500000000000003,0.895
18,0.938660226232877,0.009847187086741737,0.9973260610713961,0.0005717442436606935,100,1.82,9.88,27,6.93,0.6884
8,0.961736158394096,0.006797518443019518,0.9993106416446725,0.0004396730317540125,470,0.9500000000000001,7.72,35,3.86,0.4055
74,0.48921235166724397,0.3465450070219129,0.5086691977298992,0.354276023597872,120,7.08,5.76,21,6.22,0.3723
41,0.8881209440840078,0.01793443181864521,0.9893288562054601,0.002275005696230123,240,4.99,9.69,16,9.86,0.2907
9,0.9565205907999461,0.006600302149987395,0.9990519839729636,0.0004224925735792074,140,1.22,6.57,39,6.04,0.8367
84,0.40299243261959683,0.3290554743122405,0.41200415538927204,0.33485859473472135,340,6.15,9.620000000000001,50,2.94,0.5994
56,0.716977550295183,0.2861969985175084,0.7504732355796792,0.31004632369745155,480,8.98,6.71,12,9.950000000000001,0.0234
76,0.47536444027729613,0.3862267174756756,0.5115779624743046,0.4143381334138112,410,5.11,6.97,42,3.3000000000000003,0.3854
79,0.44454098191573416,0.2937769684825244,0.46442241378282867,0.3056897869071096,380,5.38,3.42,30,3.67,0.1471
30,0.9256456006748148,0.008784227807602154,0.9995692996045946,0.0004719712176688944,190,3.11,4.22,21,6.59,0.6223
27,0.9276761074471326,0.00496307378237857,0.9991386733656595,0.0006091023946015809,490,2.42,6.86,42,0.3,0.1861
65,0.601865828583185,0.23438738482565413,0.6144520939579788,0.24052772286223092,190,6.92,0.38,6,8.6,0.2319
85,0.40089287926719475,0.32733697398871375,0.4089693833548943,0.33432340202316857,130,3.7199999999999998,0.39,3,1.1,0.6632
7,0.964197351498097,0.005480294376961861,0.9986203175931591,0.0006340451539114345,60,0.8,8.3,23,6.42,0.5655
80,0.4311616852444309,0.323653978320791,0.43867168464397066,0.31927847745440796,380,4.93,9.02,14,2.99,0.8741
20,0.932944827584992,0.004332134971734045,1.0,0.0,60,2.8299999999999996,1.76,25,3.61,0.0084
34,0.922882758163297,0.009407041218625966,0.9959453338075447,0.001675689328785565,70,3.4,9.86,19,9.96,0.4853
49,0.8119012327692398,0.11104871533081873,0.9041249961169132,0.11630153196937196,80,5.52,7.84,12,9.23,0.3011
58,0.6831745760074763,0.35072995804070034,0.7330170331752057,0.37583196699774096,450,5.33,4.83,13,5.63,0.7696000000000001
6,0.9758988413782339,0.00915976650238938,0.9990520581291029,0.00017285983416683297,240,0.21000000000000002,8.93,30,1.3900000000000001,0.8398
51,0.8016378797845307,0.06255544076811403,0.8422463019241494,0.0637927488301587,390,7.74,7.83,40,9.35,0.2296
47,0.8305517764426311,0.08450690232220305,0.8982945449283004,0.12127854802917462,490,5.92,5.79,43,9.58,0.6562
